"";"Plant";"Quadrat";"Year";"Locality";"Grid";"Cover_classes";"Cover_max";"Vegetation";"Total_cover";"Relative_abundance";"Total_cover_max";"Plant_richness";"Plant_diversity";"Rank";"Plant_genus"
"39";"Ornithopus compressus";"Quadrat 9";"20";"BDX";"20_BDX_01";0,5;1;49,5;49,5;0,0101010101010101;76;8;6,35061491215934;8;"Ornithopus"
"40";"Avena fatua";"Quadrat 8";"20";"BDX";"20_BDX_01";0,5;1;91;91;0,00549450549450549;106;3;1,19577837604099;3;"Avena"
"41";"Achillea millefolium";"Quadrat 3";"20";"BDX";"20_BDX_02";87,5;100;90,5;90,5;0,966850828729282;105;2;1,15664559858753;1;"Achillea"
"42";"Sporobolus indicus";"Quadrat 8";"20";"BDX";"20_BDX_02";87,5;100;100,5;100,5;0,870646766169154;120;3;1,57622465888041;1;"Sporobolus"
"43";"Achillea millefolium";"Quadrat 5";"20";"BDX";"20_BDX_02";62,5;75;100;100;0,625;125;2;1,93781924087838;1;"Achillea"
"44";"Achillea millefolium";"Quadrat 7";"20";"BDX";"20_BDX_02";62,5;75;85,5;85,5;0,730994152046784;105;3;1,98661049611372;1;"Achillea"
"45";"Anthoxanthum odoratum";"Quadrat 1";"20";"BDX";"20_BDX_02";62,5;75;112,5;112,5;0,555555555555556;140;4;3,17661125208429;1;"Anthoxanthum"
"46";"Graminee sp 1";"Quadrat 4";"20";"BDX";"20_BDX_02";62,5;75;120;120;0,520833333333333;150;3;2,72335317868283;1;"Graminee"
"47";"Achillea millefolium";"Quadrat 6";"20";"BDX";"20_BDX_02";37,5;50;80,5;80,5;0,46583850931677;105;4;3,22326529878349;1;"Achillea"
"48";"Achillea millefolium";"Quadrat 9";"20";"BDX";"20_BDX_02";37,5;50;115,5;115,5;0,324675324675325;155;4;3,28883348605641;1;"Achillea"
"49";"Anthoxanthum odoratum";"Quadrat 2";"20";"BDX";"20_BDX_02";37,5;50;60,5;60,5;0,619834710743802;85;4;2,83060155900659;1;"Anthoxanthum"
"50";"Anthoxanthum odoratum";"Quadrat 9";"20";"BDX";"20_BDX_02";37,5;50;115,5;115,5;0,324675324675325;155;4;3,28883348605641;2;"Anthoxanthum"
"51";"Graminee sp 1";"Quadrat 5";"20";"BDX";"20_BDX_02";37,5;50;100;100;0,375;125;2;1,93781924087838;2;"Graminee"
"52";"Lolium perenne";"Quadrat 4";"20";"BDX";"20_BDX_02";37,5;50;120;120;0,3125;150;3;2,72335317868283;2;"Lolium"
"53";"Silene gallica";"Quadrat 9";"20";"BDX";"20_BDX_02";37,5;50;115,5;115,5;0,324675324675325;155;4;3,28883348605641;3;"Silene"
"54";"Achillea millefolium";"Quadrat 1";"20";"BDX";"20_BDX_02";20;25;112,5;112,5;0,177777777777778;140;4;3,17661125208429;2;"Achillea"
"55";"Ornithopus compressus";"Quadrat 1";"20";"BDX";"20_BDX_02";20;25;112,5;112,5;0,177777777777778;140;4;3,17661125208429;3;"Ornithopus"
"56";"Ornithopus compressus";"Quadrat 4";"20";"BDX";"20_BDX_02";20;25;120;120;0,166666666666667;150;3;2,72335317868283;3;"Ornithopus"
"57";"Ornithopus compressus";"Quadrat 6";"20";"BDX";"20_BDX_02";20;25;80,5;80,5;0,248447204968944;105;4;3,22326529878349;2;"Ornithopus"
"58";"Anthoxanthum odoratum";"Quadrat 6";"20";"BDX";"20_BDX_02";20;25;80,5;80,5;0,248447204968944;105;4;3,22326529878349;3;"Anthoxanthum"
"59";"Poa pratensis";"Quadrat 7";"20";"BDX";"20_BDX_02";20;25;85,5;85,5;0,233918128654971;105;3;1,98661049611372;2;"Poa"
"60";"Graminee sp 1";"Quadrat 1";"20";"BDX";"20_BDX_02";10;15;112,5;112,5;0,0888888888888889;140;4;3,17661125208429;4;"Graminee"
"61";"Graminee sp 1";"Quadrat 2";"20";"BDX";"20_BDX_02";10;15;60,5;60,5;0,165289256198347;85;4;2,83060155900659;2;"Graminee"
"62";"Poa pratensis";"Quadrat 2";"20";"BDX";"20_BDX_02";10;15;60,5;60,5;0,165289256198347;85;4;2,83060155900659;3;"Poa"
